t,market_price,fair_value,bid,ask,fill,cash,inventory,unrealized_pnl,total_pnl
155,0.6445496089333015,0.6647058823529413,0.6447058823529412,0.6847058823529413,buy,12.564514600450554,-17,-10.957343351866125,1.6071712485844287
156,0.6836807267582341,0.655072463768116,0.635072463768116,0.675072463768116,sell,13.23958706421867,-18,-12.306253081648213,0.9333339825704563
157,0.6881021808497801,0.66,0.64,0.68,sell,13.91958706421867,-19,-13.073941436145823,0.8456456280728464
158,0.7093518620277522,0.6647887323943662,0.6447887323943662,0.6847887323943662,sell,14.604375796613036,-20,-14.187037240555044,0.41733855605799164
159,0.6998983569555816,0.6694444444444445,0.6494444444444445,0.6894444444444445,sell,15.29382024105748,-21,-14.697865496067212,0.5959547449902676
160,0.677204563779462,0.673972602739726,0.653972602739726,0.693972602739726,,15.29382024105748,-21,-14.221295839368702,1.0725244016887778
161,0.6600420003458415,0.673972602739726,0.653972602739726,0.693972602739726,,15.29382024105748,-21,-13.86088200726267,1.4329382337948093
162,0.6485353790378343,0.673972602739726,0.653972602739726,0.693972602739726,buy,14.639847638317754,-20,-12.970707580756686,1.6691400575610675
163,0.6946780047346459,0.664864864864865,0.6448648648648649,0.684864864864865,sell,15.324712503182619,-21,-14.588238099427564,0.7364744037550555
164,0.6795163709134259,0.6693333333333333,0.6493333333333333,0.6893333333333334,,15.324712503182619,-21,-14.269843789181943,1.0548687140006763
165,0.6983103364424815,0.6693333333333333,0.6493333333333333,0.6893333333333334,sell,16.01404583651595,-22,-15.362827401734593,0.6512184347813577
166,0.6813362760586169,0.6736842105263158,0.6536842105263158,0.6936842105263158,,16.01404583651595,-22,-14.989398073289571,1.0246477632263797
167,0.7019009225131709,0.6736842105263158,0.6536842105263158,0.6936842105263158,sell,16.70773004704227,-23,-16.14372121780293,0.5640088292393379
168,0.7105048957096296,0.6779220779220779,0.6579220779220779,0.6979220779220779,sell,17.405652124964348,-24,-17.052117497031112,0.35353462793323587
169,0.7078468929709864,0.6820512820512821,0.662051282051282,0.7020512820512821,sell,18.10770340701563,-25,-17.69617232427466,0.4115310827409715
170,0.7076392977997283,0.6860759493670886,0.6660759493670886,0.7060759493670886,sell,18.81377935638272,-26,-18.398621742792937,0.4151576135897841
171,0.6951615790011542,0.6900000000000001,0.67,0.7100000000000001,,18.81377935638272,-26,-18.07420105403001,0.7395783023527116
172,0.7053249440807381,0.6900000000000001,0.67,0.7100000000000001,,18.81377935638272,-26,-18.33844854609919,0.4753308102835305
173,0.6969590272698856,0.6900000000000001,0.67,0.7100000000000001,,18.81377935638272,-26,-18.120934709017025,0.6928446473656962
174,0.6735989606310463,0.6900000000000001,0.67,0.7100000000000001,,18.81377935638272,-26,-17.513572976407204,1.300206379975517
175,0.6503602611131016,0.6900000000000001,0.67,0.7100000000000001,buy,18.14377935638272,-25,-16.25900652782754,1.8847728285551781
176,0.657294006411889,0.6814814814814815,0.6614814814814814,0.7014814814814815,buy,17.48229787490124,-24,-15.775056153885334,1.7072417210159045
177,0.6920111312195032,0.6731707317073171,0.6531707317073171,0.6931707317073171,,17.48229787490124,-24,-16.608267149268077,0.8740307256331619
178,0.6966104069299968,0.6731707317073171,0.6531707317073171,0.6931707317073171,sell,18.175468606608554,-25,-17.41526017324992,0.7602084333586347
179,0.6954071200612992,0.6771084337349398,0.6571084337349398,0.6971084337349398,,18.175468606608554,-25,-17.38517800153248,0.7902906050760734
180,0.7023532868502851,0.6771084337349398,0.6571084337349398,0.6971084337349398,sell,18.872577040343494,-26,-18.261185458107413,0.6113915822360809
181,0.7293556573419073,0.680952380952381,0.660952380952381,0.700952380952381,sell,19.573529421295873,-27,-19.692602748231497,-0.11907332693562367
182,0.7332755245020891,0.6847058823529412,0.6647058823529411,0.7047058823529412,sell,20.278235303648813,-28,-20.531714686058496,-0.25347938240968304
183,0.7243932036603099,0.6883720930232559,0.6683720930232558,0.7083720930232559,sell,20.98660739667207,-29,-21.007402906148986,-0.02079550947691544
184,0.7462993176784922,0.6919540229885058,0.6719540229885058,0.7119540229885059,sell,21.698561419660578,-30,-22.388979530354767,-0.6904181106941891
185,0.7535594805637998,0.6954545454545454,0.6754545454545454,0.7154545454545455,sell,22.414015965115123,-31,-23.360343897477794,-0.9463279323626708
186,0.7825966263755297,0.698876404494382,0.678876404494382,0.7188764044943821,sell,23.132892369609504,-32,-25.04309204401695,-1.9101996744074476
